density,leniency,index,performance
38,0,1,0.0
38,0,2,0.8214285714285714
7,11,0,0.0
7,11,1,0.0
7,11,2,0.4285714285714286
10,9,0,0.0
10,9,1,0.0
10,9,2,0.3928571428571429
4,9,0,0.0
4,9,1,0.0
4,9,2,0.1428571428571429
28,10,0,0.0
28,10,1,0.0
28,10,2,0.7142857142857143
24,10,0,0.0
24,10,1,0.0
24,10,2,0.6785714285714286
24,9,0,0.0
24,9,1,0.0
24,9,2,0.0
6,9,0,0.0
6,9,1,0.0
6,9,2,0.3571428571428571
13,10,0,0.0
13,10,1,0.0
13,10,2,0.3214285714285714
24,12,0,0.0
24,12,1,0.0
24,12,2,0.7142857142857143
14,10,0,0.0
14,10,1,0.0
14,10,2,0.7857142857142857
19,9,0,0.0
19,9,1,0.0
19,9,2,0.7142857142857143
14,11,0,0.0
14,11,1,0.0
